t,y,theta
0.05,0.10509302745359266,-0.013760885771325046
0.1,0.2646188292811028,-0.08556707375228459
0.15000000000000002,0.10657309557786188,0.005369611665000273
0.2,-0.2821574529571024,0.10061010066010398
0.25,0.1595862363595341,0.03573120979212577
0.30000000000000004,-0.44477052723090627,0.25847848644507676
0.35000000000000003,-0.1169168269247346,0.4011306766284308
0.4,0.4926739450963851,0.5001667962686325
0.45,0.842591164831869,0.6301736079454348
0.5,0.5465412143462436,0.8902433080425544
0.55,1.305531289112813,0.9488018252924492
0.6000000000000001,0.689148690226467,0.8607805388868053
0.65,0.7331581947374962,0.9615873312376401
0.7000000000000001,1.4263418071833995,1.0781788321763304
0.75,1.0096057587199574,1.2156719434326178
0.8,1.7796205806407488,1.2065773264847848
0.8500000000000001,1.914972248586145,1.2529270967189248
0.9,1.1799774193953754,1.3485835495408038
0.9500000000000001,0.88136946281697,1.4116122595671659
1.0,0.9948236894409506,1.3898922099890836
1.05,1.5289593865945368,1.4683019690323271
1.1,1.8185735914643963,1.3307562864611975
1.1500000000000001,1.378543352413137,1.4846863717476289
1.2000000000000002,1.0028142135782288,1.5380098296860683
1.25,1.24881602596313,1.5059320830047689
1.3,1.2792417139327503,1.3062029774503365
1.35,0.8408190273243747,1.467036748158603
1.4000000000000001,1.5794322718787193,1.5978087293088674
1.4500000000000002,1.644176368109353,1.4643502082258286
1.5,1.591936333642795,1.5496368975766814
1.55,1.6453026474387926,1.60529517897542
1.6,1.5440929959195187,1.6305282438770798
1.6500000000000001,1.882326111563884,1.5753823559687536
1.7000000000000002,1.4534065188542775,1.6197925788332408
1.75,2.309355997574039,1.8066520769138676
1.8,1.9158452773415564,1.714677739486327
1.85,2.0109276542377885,1.7128427614685557
1.9000000000000001,2.044922303139706,1.7495770668683797
1.9500000000000002,1.9750615540692822,1.7227287027953637
2.0,1.3671860456160099,1.703970451507285
2.0500000000000003,2.1329734280596813,1.700876431294069
2.1,1.856244162965961,1.858757222390585
2.15,1.931682531703802,1.82971075884321
2.2,2.2512285331811976,1.8089312045964512
2.25,1.6783268243501293,1.9916603178283743
2.3000000000000003,1.8448059947817161,1.998449722629715
2.35,1.4943338460037088,2.115080753620723
2.4000000000000004,2.2349595233218262,2.2332502157616374
2.45,1.8341611791284025,2.073887878801707
2.5,2.6116613406042926,2.262552253710575
2.5500000000000003,1.9178041562174402,2.181234522879104
2.6,2.7673394815083237,2.233656478066914
2.6500000000000004,2.1582177707576484,2.145347255651346
2.7,2.422145894637125,2.06780816330361
2.75,1.941364812771471,2.0152578629465276
2.8000000000000003,2.611451040835104,1.98830695193479
2.85,2.3829225529588753,2.104486687868054
2.9000000000000004,1.931289619590402,2.297630507195861
2.95,2.625596334602348,2.4271792828600045
3.0,2.937607158739258,2.5845574749504014
3.0500000000000003,2.464427455426019,2.6617160854125608
3.1,3.059533969544147,2.767540676149091
3.1500000000000004,3.17785387358476,2.9151627360592576
3.2,3.130141265327637,2.857104598638779
3.25,2.5977786476698195,3.112789620440349
3.3000000000000003,3.6443346021939074,3.2653120389019086
3.35,3.5759961599427466,3.5001840209518496
3.4000000000000004,3.3989024402620074,3.510713491902025
3.45,3.710122781123833,3.6173661898077616
3.5,4.1168753877678395,3.488964544170033
3.5500000000000003,3.165563183434188,3.4610043726840387
3.6,3.143708574411556,3.6378582477807084
3.6500000000000004,3.8772879287518998,3.9770261205275825
3.7,4.108893360983049,4.072714918095481
3.75,3.8287645523140363,4.123762654998606
3.8000000000000003,3.8804635705272754,4.2331303242453515
3.85,4.566363649657697,4.167227265298591
3.9000000000000004,3.6980789526792126,4.151631145569864
3.95,4.072189053081271,4.230965476298201
4.0,4.552890864824484,4.253773757389818
4.05,4.291524864039298,4.1576142423218405
4.1000000000000005,3.9918166018038033,4.2870362390510195
4.15,3.8779023459171382,4.5875874407829125
4.2,4.423929296291304,4.63449211451645
4.25,5.020310949274363,4.636495181315907
4.3,4.980932282191397,4.810229692844845
4.3500000000000005,5.2899682027875565,4.94904168385126
4.4,5.427916574577945,5.096759246680133
4.45,5.2417118469559485,5.136134195116994
4.5,4.923050795425938,5.102107472159286
4.55,4.909448994719288,5.14666731774819
4.6000000000000005,5.155746046660039,5.0401064693049085
4.65,5.421418516751979,5.113969602110262
4.7,5.252478558972435,5.228401221938134
4.75,5.317770912543321,5.402603279840792
4.800000000000001,4.81767431959688,5.3596613183417405
4.8500000000000005,5.391251443471766,5.3723449949976025
4.9,5.287359774289773,5.323137108736195
4.95,5.926111990486132,5.390541424666711
5.0,6.5510480923719685,5.568366524792835
5.050000000000001,5.665722022405857,5.619844436615235
5.1000000000000005,5.136112293146662,5.731211679382039
5.15,6.021194412412787,5.891817470896049
5.2,6.140513909537725,5.9653711800811235
5.25,4.833298987865768,6.110698021179312
5.300000000000001,6.495297412577454,6.178014297268434
5.3500000000000005,5.923289946793507,6.316576614738321
5.4,5.9131472242754874,6.417633575732841
5.45,6.218453368166788,6.579478370060446
5.5,7.409035637766182,6.715782942349037
5.550000000000001,6.431695554460634,6.785774740715748
5.6000000000000005,7.037509071636002,6.963273290013374
5.65,6.88193558019415,7.1224402172034305
5.7,7.4028158600367515,7.206468817736677
5.75,7.510143091325118,7.37461395283551
5.800000000000001,7.6702765256780685,7.334148878495506
5.8500000000000005,7.109921098229839,7.317959354445209
5.9,7.0837757535973225,7.442653175171632
5.95,7.581063739208346,7.611213921596725
6.0,7.567630275982446,7.659611375849231
6.050000000000001,7.229436189680547,7.667388775914573
6.1000000000000005,7.245702810822378,7.677603760664252
6.15,7.413396060455228,7.927915367695272
6.2,7.730004072087451,7.950034431295624
6.25,7.522020065613642,8.049689324817217
6.300000000000001,8.290132643737302,8.283437880339962
6.3500000000000005,7.525720685543222,8.199045463893148
6.4,9.033147048242114,8.207141212073223
6.45,8.628219838595525,8.306236273414841
6.5,8.51369404066062,8.452543876041407
6.550000000000001,8.824030890173843,8.643805800609492
6.6000000000000005,9.107597570089721,8.785357573976817
6.65,8.916763812908288,9.024949241965492
6.7,9.80145848022606,9.098133292634106
6.75,9.570683978360833,9.27794680835932
6.800000000000001,9.645124393782707,9.2096065683423
6.8500000000000005,8.842512028756705,9.152039080360383
6.9,9.651946208677874,9.085965830383842
6.95,9.07302938823632,9.092675485708671
7.0,9.426919766260943,9.180096716876662
7.050000000000001,8.906966091944174,9.27189750459898
7.1000000000000005,9.733574590916522,9.372948689015372
7.15,9.42125125264968,9.50043044340986
7.2,9.73293865296473,9.472882540642878
7.25,9.811101995934653,9.615989483611163
7.300000000000001,10.267861759521935,9.712967479840913
7.3500000000000005,10.480932784784722,9.854415391578017
7.4,9.934728279218284,9.942626975162987
7.45,10.300761301398657,9.957033165717824
7.5,9.34587997492673,9.795864458532911
7.550000000000001,9.889704080337596,9.876261574343784
7.6000000000000005,10.440409975334493,9.941925926928777
7.65,10.28608068798107,9.871437562949346
7.7,10.572749313820356,9.99724016092723
7.75,10.7353379523864,10.00939707821047
7.800000000000001,10.170600235149376,10.229537771467507
7.8500000000000005,9.788195247483253,10.252084815251802
7.9,9.818067298158873,10.28053980345178
7.95,10.471800535091925,10.387892553897824
8.0,10.399548420806633,10.540613969975745
8.05,10.256084082959076,10.465373266613863
8.1,10.513116213742467,10.547144577753986
8.15,10.283029625934013,10.582879517000638
8.200000000000001,10.557612572625517,10.600491994408046
8.25,11.286724376345223,10.616144507520342
8.3,10.394481121292621,10.659294135649727
8.35,10.797096508987577,10.5952172305625
8.4,11.316616594993182,10.645464742864846
8.450000000000001,10.693110352449757,10.768714191649174
8.5,10.832238400644284,10.927972409128014
8.55,10.284195907278216,10.974178032547428
8.6,11.128080421311621,11.02289277448661
8.65,11.54303209249933,11.075110064001839
8.700000000000001,11.230413274221222,11.081157842473429
8.75,11.363007569907753,11.084410471665805
8.8,11.149655077688738,11.042469517412478
8.85,11.439120750229716,11.037907080735149
8.9,10.476992143949772,11.065869247840027
8.950000000000001,11.218268551767473,11.176248142829829
9.0,11.287561027899828,11.172912069696839
9.05,11.706001491924614,11.19948045907729
9.1,11.533314119352854,11.333720859111986
9.15,10.951157785688807,11.364058701845817
9.200000000000001,11.132267887544147,11.524727792927234
9.25,12.21601303339171,11.457336566631504
9.3,11.097710163946997,11.318719174409235
9.35,11.36638788859243,11.271641265716045
9.4,11.273653148620133,11.389612301649802
9.450000000000001,11.53398798930668,11.439564950258445
9.5,10.757181805740991,11.498684737251901
9.55,11.746630004418776,11.655203332365804
9.600000000000001,11.377758967157874,11.66263678537549
9.65,11.126053863487101,11.713830624691143
9.700000000000001,12.458496274973736,11.816194150734285
9.75,11.764635919749729,11.903172281077476
9.8,12.574170409749543,12.04696331833777
9.850000000000001,11.919996025969171,12.05412756224461
9.9,11.996136350353666,12.113821330354227
9.950000000000001,10.787712054511541,12.129471242492805
10.0,12.354701365485647,12.204165293108865
10.05,12.172480927633977,12.142432318192679
10.100000000000001,11.461887330389668,12.192126886945964
10.15,13.255905414279182,12.300833596346472
10.200000000000001,12.237430016993947,12.382756700586503
10.25,12.246371853258916,12.431406159609894
10.3,13.0817808173537,12.506081199863182
10.350000000000001,12.890474463524466,12.753247223946282
10.4,12.201033174611561,12.958497811498527
10.450000000000001,12.242641122145763,12.885267745846063
10.5,12.637601242276652,13.046803377351324
10.55,12.848942052098199,12.940981980130562
10.600000000000001,13.016048975115034,13.09700830832416
10.65,13.143794802298759,13.192097465689592
10.700000000000001,13.96374313331954,13.33616455377948
10.75,13.086771650528082,13.269418948859752
10.8,13.774187532667778,13.514218094372152
10.850000000000001,13.89946351334038,13.592613582487509
10.9,13.5952868196948,13.617125216461604
